Year,CO2
1960,379506.4144740046
1961,374035.3118242009
1962,381505.0063398048
1963,401537.0093823474
1964,411765.5417598857
1965,435207.10423407506
1966,458757.00275276776
1967,473560.4017063476
1968,499497.2688882719
1969,533679.8169571378
1970,580147.0364277062
1971,606344.6349161117
1972,632715.6657126748
1973,667204.209644276
1974,673138.5261672913
1975,685908.7579536294
1976,722682.0771588641
1977,748199.5558445349
1978,780178.0237864238
1979,801543.948708541
1980,804796.8123877188
1981,786758.7206840547
1982,793344.5382590732
1983,804491.8602966211
1984,827727.4319285578
1985,866311.5010118415
1986,880349.2528735833
1987,905029.2584415575
1988,940153.2865261302
1989,952510.1357841701
1990,702520.3130837166
1991,708300.9502696595
1992,708122.6978728797
1993,712090.347421764
1994,713394.9259562326
1995,736544.1719210037
1996,750463.0569971822
1997,761957.1347566666
1998,767017.2752966601
1999,769062.1255235284
2000,794652.4949820719
2001,811305.2254243146
2002,826801.857976158
2003,872052.9971899325
2004,919239.8682145925
2005,960897.0806814394
2006,1000794.4679221779
2007,1043538.1551018743
2008,1053834.226221907
2009,1051740.4064332994
2010,1119297.688922839
2011,1165438.6432409135
2012,1177141.9881458422
2013,1203350.9467449153
2014,1208977.0644950338
2015,1206570.7513950684
2016,1210105.2609245367
2017,1310145.0537451073
2018,1344521.266291196
2019,1353171.2817742634
