Year,Temperature,CO2,SeaLevel
1960,18.88701308539945,379506.4144740046,-66.88072917
1961,18.923565426997246,374035.3118242009,-60.74739583
1962,18.69384745179063,381505.0063398048,-68.04739583
1963,18.675247933884297,401537.0093823474,-69.9140625
1964,18.581274793388427,411765.5417598857,-70.98072917
1965,18.517540633608817,435207.10423407506,-66.3140625
1966,18.866287534435266,458757.00275276776,-70.48072917
1967,18.634186983471075,473560.4017063476,-66.44739583
1968,18.605818870523414,499497.2688882719,-72.8140625
1969,18.77152582644628,533679.8169571378,-62.6140625
1970,18.794121212121212,580147.0364277062,-64.74739583
1971,18.58820661157025,606344.6349161117,-60.48072917
1972,18.665611570247936,632715.6657126748,-43.7140625
1973,18.87329338842975,667204.209644276,-56.74739583
1974,18.631447314049588,673138.5261672913,-43.18072917
1975,18.746661845730028,685908.7579536294,-45.84739583
1976,18.48219662534435,722682.0771588641,-44.74739583
1977,18.92226067493113,748199.5558445349,-48.5140625
1978,18.729517217630857,780178.0237864238,-41.8140625
1979,18.909544077134985,801543.948708541,-46.8140625
1980,18.853321280991736,804796.8123877188,-41.88072917
1981,18.91613636363636,786758.7206840547,-25.98072917
1982,18.85216873278237,793344.5382590732,-37.88072917
1983,19.094044077134985,804491.8602966211,-22.28072917
1984,18.764960743801655,827727.4319285578,-21.7140625
1985,18.69913085399449,866311.5010118415,-36.98072917
1986,18.80115185950413,880349.2528735833,-35.18072917
1987,19.05104476584022,905029.2584415576,-33.24739583
1988,19.111678719008264,940153.2865261302,-28.84739583
1989,19.05676687327824,952510.13578417,-25.14739583
1990,19.31768629476584,702520.3130837166,-22.84739583
1991,19.011359848484847,708300.9502696595,-22.8140625
1992,18.97200723140496,708122.6978728797,-20.24739583
1993,18.93079958677686,712090.347421764,-22.78072917
1994,19.25170179063361,713394.9259562326,-17.98072917
1995,19.26706955922865,736544.1719210037,-15.58072917
1996,18.958374655647383,750463.0569971822,-11.94739583
1997,19.250350895316803,761957.1347566666,-2.647395833
1998,19.596783057851237,767017.2752966601,-10.8140625
1999,19.392099517906335,769062.1255235284,-0.247395833
2000,19.349202134986225,794652.4949820719,2.952604167
2001,19.42530337465565,811305.2254243146,4.719270833
2002,19.56552341597796,826801.857976158,2.152604167
2003,19.525086776859503,872052.9971899325,14.61927083
2004,19.42209194214876,919239.8682145925,13.65260417
2005,19.499590220385674,960897.0806814394,12.11927083
2006,19.539134986225896,1000794.467922178,9.519270833
2007,19.610394283746555,1043538.1551018744,22.7859375
2008,19.423961776859503,1053834.226221907,30.45260417
2009,19.546385330578513,1051740.4064332994,33.65260417
2010,19.629806129476584,1119297.688922839,33.87824005
2011,19.456040289256197,1165438.6432409135,36.71847075
2012,19.46874414600551,1177141.9881458422,47.17390325
2013,19.877007153806847,1203350.946744915,41.33798668
